VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-10-01 00:00:00,2015-10-01 00:05:48,1,1.10,-73.935516357421875,40.761238098144531,1,N,-73.944351196289063,40.75457763671875,2,6,0.5,0.5,0,0,0.3,7.3
2,2015-10-01 00:00:00,2015-10-01 00:00:00,1,7.68,-73.989936828613281,40.743438720703125,1,N,-73.986686706542969,40.689128875732422,2,27.5,0,0.5,0,0,0.3,28.3
2,2015-10-01 00:00:00,2015-10-01 00:00:00,2,2.53,-73.987327575683594,40.720020294189453,1,N,-73.99908447265625,40.744380950927734,1,12.5,0,0.5,2,0,0.3,15.3
2,2015-10-01 00:00:00,2015-10-01 00:00:00,0,1.20,-73.953758239746094,40.743385314941406,5,N,-73.930007934570313,40.736621856689453,2,25.26,0,0.5,0,0,0.3,26.06
1,2015-10-01 00:00:01,2015-10-01 00:16:19,1,3.80,-73.984016418457031,40.755222320556641,1,N,-73.959869384765625,40.801322937011719,1,15.5,0.5,0.5,3,0,0.3,19.8
1,2015-10-01 00:00:01,2015-10-01 00:13:41,1,3.10,-73.975296020507812,40.751396179199219,1,N,-73.970924377441406,40.785984039306641,1,12.5,0.5,0.5,1,0,0.3,14.8
1,2015-10-01 00:00:01,2015-10-01 00:21:23,1,4.50,-73.997077941894531,40.7222900390625,1,N,-73.960472106933594,40.761516571044922,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2015-10-01 00:00:01,2015-10-01 00:05:50,1,.84,-73.998710632324219,40.734756469726563,1,N,-74.003082275390625,40.742546081542969,1,6,0.5,0.5,0.7,0,0.3,8
2,2015-10-01 00:00:01,2015-10-01 00:14:39,6,8.02,-73.982109069824219,40.773761749267578,1,N,-73.924179077148438,40.864158630371094,1,23.5,0.5,0.5,5.2,0,0.3,30
2,2015-10-01 00:00:01,2015-10-01 00:16:19,1,2.91,-73.973129272460938,40.756046295166016,1,N,-74.004562377929687,40.730453491210938,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2015-10-01 00:00:02,2015-10-01 00:18:19,1,4.20,-73.9866943359375,40.734092712402344,1,N,-73.940803527832031,40.751621246337891,1,16.5,0.5,0.5,3.55,0,0.3,21.35
1,2015-10-01 00:00:02,2015-10-01 00:27:34,1,6.40,-73.9918212890625,40.759658813476563,1,N,-73.96978759765625,40.680568695068359,1,23.5,0.5,0.5,7.4,0,0.3,32.2
2,2015-10-01 00:00:02,2015-10-01 00:09:34,1,1.15,-73.983543395996094,40.751556396484375,1,N,-73.98699951171875,40.761077880859375,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2015-10-01 00:00:02,2015-10-01 00:17:37,2,5.68,-73.997596740722656,40.756248474121094,1,N,-73.941001892089844,40.815139770507813,2,18.5,0.5,0.5,0,0,0.3,19.8
2,2015-10-01 00:00:02,2015-10-01 00:05:51,1,1.21,-73.983673095703125,40.742362976074219,1,N,-73.994071960449219,40.728786468505859,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2015-10-01 00:00:03,2015-10-01 00:03:57,1,.60,0,0,1,N,0,0,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2015-10-01 00:00:03,2015-10-01 00:08:21,1,1.40,-73.988906860351563,40.726940155029297,1,N,-73.992790222167969,40.741340637207031,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2015-10-01 00:00:03,2015-10-01 00:08:07,1,.80,-73.969291687011719,40.761344909667969,1,N,-73.982139587402344,40.763088226318359,2,7,0.5,0.5,0,0,0.3,8.3
1,2015-10-01 00:00:03,2015-10-01 00:22:59,2,3.10,-73.994194030761719,40.755142211914063,1,N,-73.964195251464844,40.759849548339844,1,16,0.5,0.5,3.45,0,0.3,20.75
2,2015-10-01 00:00:03,2015-10-01 00:03:30,1,.79,-73.98876953125,40.748600006103516,1,N,-73.990257263183594,40.756748199462891,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2015-10-01 00:00:03,2015-10-01 00:05:15,2,.46,-73.999847412109375,40.728633880615234,1,N,-73.995040893554687,40.724910736083984,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2015-10-01 00:00:03,2015-10-01 00:33:38,1,7.97,-73.971611022949219,40.763015747070313,1,N,-74.011100769042969,40.716373443603516,1,29,0.5,0.5,6.06,0,0.3,36.36
2,2015-10-01 00:00:03,2015-10-01 00:07:34,2,1.18,-73.984611511230469,40.760494232177734,1,N,-73.993911743164062,40.751777648925781,1,7,0.5,0.5,2.08,0,0.3,10.38
1,2015-10-01 00:00:04,2015-10-01 00:01:42,1,.30,-73.982933044433594,40.771839141845703,1,N,-73.983062744140625,40.767936706542969,1,3.5,0.5,0.5,1.4,0,0.3,6.2
2,2015-10-01 00:00:04,2015-10-01 00:16:47,1,3.55,-73.999191284179688,40.734233856201172,1,N,-73.961593627929688,40.766952514648438,2,14,0.5,0.5,0,0,0.3,15.3
1,2015-10-01 00:00:05,2015-10-01 00:34:45,1,17.80,-73.790031433105469,40.646701812744141,2,N,-73.983322143554688,40.764595031738281,1,52,0,0.5,10.55,0,0.3,63.35
1,2015-10-01 00:00:05,2015-10-01 00:18:12,2,4.60,-74.003303527832031,40.732402801513672,1,N,-73.95599365234375,40.781791687011719,1,16.5,0.5,0.5,3.55,0,0.3,21.35
2,2015-10-01 00:00:05,2015-10-01 00:15:14,1,8.56,-73.991424560546875,40.719333648681641,1,N,-73.857795715332031,40.719631195068359,1,24.5,0.5,0.5,5.16,0,0.3,30.96
1,2015-10-01 00:00:06,2015-10-01 00:18:54,1,3.90,-73.973426818847656,40.760944366455078,1,N,-74.009208679199219,40.73822021484375,1,16,0.5,0.5,3.46,0,0.3,20.76
2,2015-10-01 00:00:06,2015-10-01 00:08:07,1,1.77,-73.999679565429688,40.761871337890625,1,N,-73.976318359375,40.765411376953125,1,8,0.5,0.5,1,0,0.3,10.3
2,2015-10-01 00:00:06,2015-10-01 00:08:53,2,1.31,-73.989120483398437,40.731578826904297,1,N,-74.00384521484375,40.742900848388672,1,8,0.5,0.5,2.79,0,0.3,12.09
1,2015-10-01 00:00:07,2015-10-01 00:21:01,1,4.40,-73.995010375976563,40.743896484375,1,N,-73.964637756347656,40.712192535400391,1,18.5,0.5,0.5,3.95,0,0.3,23.75
